date,ticker,pnl,equity
2024-10-30,GOOG,0.07,5.0206667487632055
2024-10-30,COHR,-0.02,4.9202534137879415
2024-10-31,O,-0.052067,4.664070579292245
2024-10-31,SATS,-0.02,4.5707891677064
2024-10-31,SATS,-0.02,4.4793733843522725
2024-10-31,DELL,-0.02,4.389785916665227
2024-11-04,LVS,-0.02,4.301990198331922
2024-11-06,IBKR,0.07,4.603129512215157
2024-11-06,GDDY,0.038129,4.77864223738641
2024-11-06,STLD,0.07,5.113147194003458
2024-11-06,FOXA,0.038139,5.308157514835556
2024-11-06,AMP,0.07,5.679728540874045
2024-11-13,DXCM,-0.02,5.566133970056564
2024-11-19,LOW,-0.02,5.4548112906554325
2024-11-19,PFG,-0.02,5.345715064842324
2024-11-19,ARES,-0.02,5.238800763545477
2024-11-20,ORCL,0.052472,5.513691117210236
2024-11-26,XOM,-0.02,5.403417294866031
2024-11-27,CBRE,0.07,5.781656505506654
2024-12-02,APD,0.058404,6.119328372054264
2024-12-02,LULU,0.07,6.547681358098063
2024-12-02,LVS,0.07,7.006019053164928
2024-12-03,MLM,-0.02,6.865898672101629
2024-12-04,ARES,0.038157,7.127880767733011
2024-12-04,WTW,0.042199,7.428670208250577
2024-12-04,COHR,0.07,7.948677122828118
2024-12-06,AMZN,0.07,8.505084521426086
2024-12-06,TRGP,-0.02,8.334982830997564
2024-12-09,ABNB,-0.00051,8.330731989753755
2024-12-09,GEV,-0.02,8.16411734995868
2024-12-10,COF,-0.02,8.000835002959507
2024-12-10,ALB,-0.02,7.840818302900317
2024-12-12,PCAR,-0.02,7.684001936842311
2024-12-12,MSTR,-0.02,7.5303218981054645
2024-12-16,AXON,-0.02,7.379715460143355
2024-12-17,EMR,-0.02,7.232121150940488
2024-12-17,COIN,-0.02,7.087478727921678
2024-12-27,APO,-0.02,6.945729153363245
2024-12-27,APP,-0.02,6.8068145702959795
2024-12-30,GDDY,-0.02,6.67067827889006
2024-12-30,NFLX,-0.02,6.537264713312259
2025-01-02,EQT,0.07,6.994873243244117
2025-01-03,SW,-0.02,6.854975778379235
2025-01-06,MRVL,0.07,7.334824082865782
2025-01-06,PLTR,-0.02,7.188127601208466
2025-01-10,UAL,0.07,7.691296533293059
2025-01-10,BMY,-0.02,7.537470602627198
2025-01-13,DECK,-0.02,7.3867211905746535
2025-01-13,WMT,-0.02,7.23898676676316
2025-01-15,EXE,0.054087,7.630521844017079
2025-01-15,HOOD,0.07,8.164658373098275
2025-01-17,LITE,0.07,8.736184459215155
2025-01-22,APTV,0.07,9.347717371360217
2025-01-22,APP,0.07,10.002057587355432
2025-01-22,CIEN,0.07,10.702201618470314
2025-01-27,V,0.043984,11.172927254457113
2025-01-27,PLTR,-0.02,10.94946870936797
2025-01-28,DLTR,-0.02,10.730479335180611
2025-01-30,DECK,0.07,11.481612888643255
2025-01-31,NRG,-0.02,11.25198063087039
2025-02-03,CF,-0.02,11.026941018252982
2025-02-03,CIEN,-0.02,10.806402197887921
2025-02-06,EBAY,0.042471,11.265360905634418
2025-02-06,CIEN,0.07,12.053936169028828
2025-02-06,VST,-0.02,11.812857445648252
2025-02-07,VRSN,0.050586,12.410422652393814
2025-02-11,ANET,-0.02,12.162214199345938
2025-02-12,WSM,-0.02,11.91896991535902
2025-02-12,APA,-0.02,11.680590517051838
2025-02-14,ARM,-0.02,11.446978706710802
2025-02-19,CIEN,-0.02,11.218039132576585
2025-02-19,WSM,-0.02,10.993678349925053
2025-02-20,APTV,0.07,11.763235834419808
2025-02-20,STT,-0.02,11.527971117731411
2025-02-25,SOLV,0.07,12.33492909597261
2025-02-27,ASML,-0.02,12.088230514053159
2025-03-03,INCY,-0.02,11.846465903772096
2025-03-04,MA,-0.02,11.609536585696654
2025-03-06,AZO,0.061389,12.322234427155985
